plate_group_label,assay_plate_label,well_position,assay_read_on,col,row,raw_assay_value,volume_uL,MDL,Filled On,Run Number,Filtered out at 12:22:45 PM
PG-4586,833282,E9,4/4/2017 10:15,9,5,1.2683,235.917257,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,D1,4/4/2017 10:15,1,4,1.2751,237.221429,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,F1,4/4/2017 10:15,1,6,1.2686,235.974794,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,G5,4/4/2017 10:15,5,7,1.2659,235.456961,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,B8,4/4/2017 10:15,8,2,1.2547,233.308913,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,F9,4/4/2017 10:15,9,6,1.2664,235.552856,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,D4,4/4/2017 10:15,4,4,1.2661,235.495319,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,G7,4/4/2017 10:15,7,7,1.2636,235.015844,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,C4,4/4/2017 10:15,4,3,1.264,235.09256,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,G9,4/4/2017 10:15,9,7,1.2681,235.878899,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,F5,4/4/2017 10:15,5,6,1.2714,236.511806,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,A5,4/4/2017 10:15,5,1,1.2585,234.037715,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,D3,4/4/2017 10:15,3,4,1.2748,237.163892,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,F3,4/4/2017 10:15,3,6,1.2663,235.533677,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,H4,4/4/2017 10:15,4,8,1.2629,234.881591,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,E5,4/4/2017 10:15,5,5,1.2788,237.931052,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,G3,4/4/2017 10:15,3,7,1.2526,232.906154,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,A4,4/4/2017 10:15,4,1,1.2684,235.936436,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,A2,4/4/2017 10:15,2,1,1.266,235.47614,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,G4,4/4/2017 10:15,4,7,1.2557,233.500703,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,H12,4/4/2017 10:15,12,8,1.2513,232.656827,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,D8,4/4/2017 10:15,8,4,1.2652,235.322708,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,H9,4/4/2017 10:15,9,8,1.2586,234.056894,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,G6,4/4/2017 10:15,6,7,1.2721,236.646059,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,B2,4/4/2017 10:15,2,2,1.2763,237.451577,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,A1,4/4/2017 10:15,1,1,1.2655,235.380245,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,E11,4/4/2017 10:15,11,5,1.2631,234.919949,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,F4,4/4/2017 10:15,4,6,1.2748,237.163892,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,C6,4/4/2017 10:15,6,3,1.2668,235.629572,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,E6,4/4/2017 10:15,6,5,1.2691,236.070689,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,C10,4/4/2017 10:15,10,3,1.2635,234.996665,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,C8,4/4/2017 10:15,8,3,1.2609,234.498011,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,E1,4/4/2017 10:15,1,5,1.2577,233.884283,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,F6,4/4/2017 10:15,6,6,1.2666,235.591214,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,D2,4/4/2017 10:15,2,4,1.2771,237.605009,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,C12,4/4/2017 10:15,12,3,1.2593,234.191147,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,H7,4/4/2017 10:15,7,8,1.2682,235.898078,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,A7,4/4/2017 10:15,7,1,1.2712,236.473448,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,G8,4/4/2017 10:15,8,7,1.2711,236.454269,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,B7,4/4/2017 10:15,7,2,1.2714,236.511806,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,A3,4/4/2017 10:15,3,1,1.2623,234.766517,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,G10,4/4/2017 10:15,10,7,1.2648,235.245992,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,D10,4/4/2017 10:15,10,4,1.2638,235.054202,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,D12,4/4/2017 10:15,12,4,1.2597,234.267863,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,C5,4/4/2017 10:15,5,3,1.2627,234.843233,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,F12,4/4/2017 10:15,12,6,1.2561,233.577419,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,C2,4/4/2017 10:15,2,3,1.272,236.62688,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,F2,4/4/2017 10:15,2,6,1.2689,236.032331,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,B1,4/4/2017 10:15,1,2,1.2659,235.456961,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,D7,4/4/2017 10:15,7,4,1.277,237.58583,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,B10,4/4/2017 10:15,10,2,1.2634,234.977486,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,E10,4/4/2017 10:15,10,5,1.2621,234.728159,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,C7,4/4/2017 10:15,7,3,1.2759,237.374861,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,F8,4/4/2017 10:15,8,6,1.2719,236.607701,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,E2,4/4/2017 10:15,2,5,1.2713,236.492627,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,A12,4/4/2017 10:15,12,1,1.2644,235.169276,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,C11,4/4/2017 10:15,11,3,1.2634,234.977486,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,E4,4/4/2017 10:15,4,5,1.278,237.77762,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,D11,4/4/2017 10:15,11,4,1.2694,236.128226,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,B5,4/4/2017 10:15,5,2,1.2573,233.807567,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,A9,4/4/2017 10:15,9,1,1.264,235.09256,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,H8,4/4/2017 10:15,8,8,1.247,231.83213,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,E8,4/4/2017 10:15,8,5,1.2593,234.191147,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,C9,4/4/2017 10:15,9,3,1.2696,236.166584,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,H11,4/4/2017 10:15,11,8,1.2526,232.906154,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,A10,4/4/2017 10:15,10,1,1.264,235.09256,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,H2,4/4/2017 10:15,2,8,1.2704,236.320016,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,B12,4/4/2017 10:15,12,2,1.2634,234.977486,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,B11,4/4/2017 10:15,11,2,1.2665,235.572035,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,G12,4/4/2017 10:15,12,7,1.2628,234.862412,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,H5,4/4/2017 10:15,5,8,1.2556,233.481524,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,D9,4/4/2017 10:15,9,4,1.2746,237.125534,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,A11,4/4/2017 10:15,11,1,1.2609,234.498011,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,E3,4/4/2017 10:15,3,5,1.2692,236.089868,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,C3,4/4/2017 10:15,3,3,1.2675,235.763825,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,B3,4/4/2017 10:15,3,2,1.2576,233.865104,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,A8,4/4/2017 10:15,8,1,1.2582,233.980178,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,G2,4/4/2017 10:15,2,7,1.2628,234.862412,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,D6,4/4/2017 10:15,6,4,1.2662,235.514498,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,E12,4/4/2017 10:15,12,5,1.2539,233.155481,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,F11,4/4/2017 10:15,11,6,1.2607,234.459653,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,G1,4/4/2017 10:15,1,7,1.2582,233.980178,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,H10,4/4/2017 10:15,10,8,1.2709,236.415911,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,H1,4/4/2017 10:15,1,8,1.2613,234.574727,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,F10,4/4/2017 10:15,10,6,1.2633,234.958307,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,D5,4/4/2017 10:15,5,4,1.272,236.62688,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,B4,4/4/2017 10:15,4,2,1.265,235.28435,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,F7,4/4/2017 10:15,7,6,1.2761,237.413219,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,A6,4/4/2017 10:15,6,1,1.2654,235.361066,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,B9,4/4/2017 10:15,9,2,1.269,236.05151,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,B6,4/4/2017 10:15,6,2,1.2652,235.322708,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,C1,4/4/2017 10:15,1,3,1.2535,233.078765,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,H3,4/4/2017 10:15,3,8,1.2535,233.078765,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,E7,4/4/2017 10:15,7,5,1.2663,235.533677,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,H6,4/4/2017 10:15,6,8,1.2632,234.939128,MDL-7658,4/4/2017,1,Untagged
PG-4586,833282,G11,4/4/2017 10:15,11,7,1.2598,234.287042,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,G7,4/4/2017 10:17,7,7,1.2651,235.303529,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,B1,4/4/2017 10:17,1,2,1.2656,235.399424,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,A8,4/4/2017 10:17,8,1,1.2578,233.903462,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,A5,4/4/2017 10:17,5,1,1.2589,234.114431,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,F7,4/4/2017 10:17,7,6,1.2717,236.569343,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,A2,4/4/2017 10:17,2,1,1.2676,235.783004,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,C2,4/4/2017 10:17,2,3,1.2693,236.109047,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,G2,4/4/2017 10:17,2,7,1.2622,234.747338,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,D6,4/4/2017 10:17,6,4,1.2646,235.207634,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,G9,4/4/2017 10:17,9,7,1.2696,236.166584,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,F6,4/4/2017 10:17,6,6,1.2625,234.804875,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,E8,4/4/2017 10:17,8,5,1.2595,234.229505,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,A4,4/4/2017 10:17,4,1,1.2646,235.207634,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,B8,4/4/2017 10:17,8,2,1.255,233.36645,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,A9,4/4/2017 10:17,9,1,1.2638,235.054202,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,C1,4/4/2017 10:17,1,3,1.2512,232.637648,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,G11,4/4/2017 10:17,11,7,1.2578,233.903462,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,B2,4/4/2017 10:17,2,2,1.2694,236.128226,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,G12,4/4/2017 10:17,12,7,1.2627,234.843233,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,C12,4/4/2017 10:17,12,3,1.2577,233.884283,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,G3,4/4/2017 10:17,3,7,1.2508,232.560932,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,F8,4/4/2017 10:17,8,6,1.2691,236.070689,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,F4,4/4/2017 10:17,4,6,1.2656,235.399424,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,C9,4/4/2017 10:17,9,3,1.2675,235.763825,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,A12,4/4/2017 10:17,12,1,1.2647,235.226813,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,B9,4/4/2017 10:17,9,2,1.2696,236.166584,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,H12,4/4/2017 10:17,12,8,1.2514,232.676006,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,H6,4/4/2017 10:17,6,8,1.2624,234.785696,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,E11,4/4/2017 10:17,11,5,1.259,234.13361,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,E9,4/4/2017 10:17,9,5,1.266,235.47614,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,E4,4/4/2017 10:17,4,5,1.2718,236.588522,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,D11,4/4/2017 10:17,11,4,1.2677,235.802183,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,H7,4/4/2017 10:17,7,8,1.2693,236.109047,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,H5,4/4/2017 10:17,5,8,1.2552,233.404808,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,D3,4/4/2017 10:17,3,4,1.271,236.43509,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,H4,4/4/2017 10:17,4,8,1.2643,235.150097,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,F3,4/4/2017 10:17,3,6,1.2536,233.097944,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,B10,4/4/2017 10:17,10,2,1.261,234.51719,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,D4,4/4/2017 10:17,4,4,1.2597,234.267863,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,F1,4/4/2017 10:17,1,6,1.2682,235.898078,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,A10,4/4/2017 10:17,10,1,1.2655,235.380245,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,F5,4/4/2017 10:17,5,6,1.2672,235.706288,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,C6,4/4/2017 10:17,6,3,1.2647,235.226813,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,C4,4/4/2017 10:17,4,3,1.2521,232.810259,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,C5,4/4/2017 10:17,5,3,1.2599,234.306221,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,D1,4/4/2017 10:17,1,4,1.274,237.01046,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,D9,4/4/2017 10:17,9,4,1.2733,236.876207,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,A6,4/4/2017 10:17,6,1,1.2644,235.169276,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,B3,4/4/2017 10:17,3,2,1.256,233.55824,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,C11,4/4/2017 10:17,11,3,1.2596,234.248684,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,B12,4/4/2017 10:17,12,2,1.2574,233.826746,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,B6,4/4/2017 10:17,6,2,1.2631,234.919949,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,A3,4/4/2017 10:17,3,1,1.2635,234.996665,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,B5,4/4/2017 10:17,5,2,1.2579,233.922641,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,G4,4/4/2017 10:17,4,7,1.2546,233.289734,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,C3,4/4/2017 10:17,3,3,1.2593,234.191147,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,F10,4/4/2017 10:17,10,6,1.2648,235.245992,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,E10,4/4/2017 10:17,10,5,1.2613,234.574727,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,C8,4/4/2017 10:17,8,3,1.264,235.09256,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,B4,4/4/2017 10:17,4,2,1.2617,234.651443,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,C7,4/4/2017 10:17,7,3,1.2746,237.125534,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,E2,4/4/2017 10:17,2,5,1.2643,235.150097,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,E3,4/4/2017 10:17,3,5,1.2618,234.670622,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,G8,4/4/2017 10:17,8,7,1.2707,236.377553,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,C10,4/4/2017 10:17,10,3,1.2594,234.210326,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,D8,4/4/2017 10:17,8,4,1.2686,235.974794,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,H8,4/4/2017 10:17,8,8,1.2505,232.503395,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,A11,4/4/2017 10:17,11,1,1.2602,234.363758,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,H11,4/4/2017 10:17,11,8,1.2506,232.522574,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,B11,4/4/2017 10:17,11,2,1.2628,234.862412,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,E5,4/4/2017 10:17,5,5,1.2623,234.766517,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,H3,4/4/2017 10:17,3,8,1.2548,233.328092,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,H10,4/4/2017 10:17,10,8,1.2694,236.128226,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,F11,4/4/2017 10:17,11,6,1.2576,233.865104,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,E12,4/4/2017 10:17,12,5,1.2521,232.810259,MDL-7658,4/4/2017,1,Untagged
